# secret s0 s1 first_cycle_of_this_triple
a6 9d 3b 2
78 d7 af 17
27 1d 3a 33
3a 16 2c 49
68 d8 b0 65
a9 98 31 81
30 10 20 97
96 72 e4 113
19 08 11 129
af 9a 35 145
bf 6a d5 161
6c db b7 177
42 3e 7c 193
46 c2 84 209
37 ed da 225
ad 64 c9 241
83 7e fd 257
1b f6 ed 273
71 2f 5e 289
3a e9 d3 305
9f 75 ea 321
66 22 44 337
7c d4 a8 353
2b e6 cd 369
b0 6f df 385
c3 41 82 401
d4 b3 67 417
39 17 2e 433
2e e5 cb 449
c1 40 81 465
13 0e 1d 481
b4 93 27 497
03 fe fd 513
89 87 0e 529
55 33 66 545
9f 8a 15 561
dd 4b 96 577
15 0c 19 593
06 02 04 609
9c 8b 17 625
c6 42 84 641
d7 4d 9a 657
ae 9a 34 673
86 7d fb 689
2d 1b 36 705
30 ef df 721
7a d6 ac 737
e4 5c b8 753
8a 86 0c 769
9e 75 eb 785
5d cb 96 801
21 1f 3e 817
de 4a 94 833
68 27 4f 849
cc 44 88 865
cb 46 8d 881
5c cb 97 897
10 f0 e0 913
08 f8 f0 929
17 f2 e5 945
d2 4e 9c 961
95 8c 19 977
71 2f 5e 993
cf 45 8a 1009
36 12 24 1025
08 f8 f0 1041
6f 25 4a 1057
f4 53 a7 1073
bf 6a d5 1089
a9 67 ce 1105
9b 89 12 1121
83 7e fd 1137
be 6a d4 1153
3c eb d7 1169
09 f8 f1 1185
9a 89 13 1201
12 f1 e3 1217
b6 92 24 1233
0c fb f7 1249
82 7e fc 1265
b8 68 d0 1281
ca 46 8c 1297
3a e9 d3 1313
43 c1 82 1329
51 30 61 1345
bb 69 d2 1361
c9 b8 71 1377
89 87 0e 1393
63 21 42 1409
1a 09 13 1425
28 18 30 1441
dc b4 68 1457
0a 06 0c 1473
0f 05 0a 1489
1d 0b 16 1505
d6 b2 64 1521
93 71 e2 1537
13 0e 1d 1553
a9 98 31 1569
82 7e fc 1585
f2 51 a3 1601
9a 89 13 1617
8f 7a f5 1633
ec a4 48 1649
56 cd 9b 1665
38 17 2f 1681
33 ee dd 1697
b6 6d db 1713
5c 34 68 1729
4d 3b 76 1745
66 22 44 1761
d3 b1 62 1777
74 2c 58 1793
0f 05 0a 1809
35 13 26 1825
a0 9f 3f 1841
03 01 02 1857
d0 b0 60 1873
9e 75 eb 1889
ba 96 2c 1905
8b 79 f2 1921
1a 09 13 1937
a3 9e 3d 1953
e5 a3 46 1969
2a e6 cc 1985
49 c7 8e 2001
de 4a 94 2017
18 f7 ef 2033
33 ee dd 2049
43 3e 7d 2065
47 c2 85 2081
25 e3 c6 2097
ab 66 cd 2113
7e d5 ab 2129
22 e1 c3 2145
97 72 e5 2161
f3 51 a2 2177
b9 68 d1 2193
44 c3 87 2209
4a 39 73 2225
95 73 e6 2241
98 88 10 2257
f2 51 a3 2273
d7 4d 9a 2289
65 23 46 2305
9a 76 ec 2321
1f f5 ea 2337
4f 3a 75 2353
c7 42 85 2369
84 83 07 2385
dc 4b 97 2401
e4 5c b8 2417
6c 24 48 2433
e4 a3 47 2449
48 38 70 2465
39 17 2e 2481
a2 9e 3c 2497
a9 98 31 2513
c0 bf 7f 2529
5b c9 92 2545
f9 57 ae 2561
7d d4 a9 2577
7e 2a 54 2593
4f c5 8a 2609
f8 a8 50 2625
2e 1a 34 2641
3b 16 2d 2657
a3 61 c2 2673
d6 b2 64 2689
97 8d 1a 2705
9c 74 e8 2721
bc 6b d7 2737
08 f8 f0 2753
a6 9d 3b 2769
7c d4 a8 2785
41 c0 81 2801
d0 4f 9f 2817
27 e2 c5 2833
06 fd fb 2849
50 30 60 2865
83 7e fd 2881
43 c1 82 2897
90 8f 1f 2913
88 87 0f 2929
2f 1a 35 2945
e2 5e bc 2961
a2 9e 3c 2977
fb a9 52 2993
f9 a8 51 3009
21 1f 3e 3025
c0 40 80 3041
d9 48 91 3057
19 08 11 3073
1f f5 ea 3089
6a 26 4c 3105
d2 4e 9c 3121
11 f0 e1 3137
72 d1 a3 3153
dc b4 68 3169
3a e9 d3 3185
ba 69 d3 3201
04 03 07 3217
0c 04 08 3233
08 07 0f 3249
1e f5 eb 3265
ea 59 b3 3281
04 03 07 3297
79 28 51 3313
9b 76 ed 3329
e1 5f be 3345
be 95 2b 3361
b7 6d da 3377
85 83 06 3393
ff aa 55 3409
3d eb d6 3425
f0 af 5f 3441
01 00 01 3457
1d f4 e9 3473
c7 bd 7a 3489
ba 69 d3 3505
7f d5 aa 3521
ab 99 32 3537
00 ff ff 3553
6e da b4 3569
03 fe fd 3585
e1 a0 41 3601
51 30 61 3617
f5 53 a6 3633
aa 99 33 3649
f6 52 a4 3665
12 0e 1c 3681
0c 04 08 3697
1c f4 e8 3713
2b e6 cd 3729
c7 42 85 3745
b7 92 25 3761
38 17 2f 3777
79 28 51 3793
7e 2a 54 3809
12 f1 e3 3825
79 d7 ae 3841
b6 92 24 3857
b8 68 d0 3873
ab 66 cd 3889
7d d4 a9 3905
77 2d 5a 3921
01 ff fe 3937
29 18 31 3953
59 37 6e 3969
12 0e 1c 3985
1e f5 eb 4001
cc 44 88 4017
43 c1 82 4033
47 c2 85 4049
b9 97 2e 4065
13 f1 e2 4081
94 73 e7 4097
71 2f 5e 4113
9c 74 e8 4129
25 1c 39 4145
30 10 20 4161
d1 b0 61 4177
8a 79 f3 4193
81 80 01 4209
a3 9e 3d 4225
80 7f ff 4241
95 73 e6 4257
b8 97 2f 4273
fd 54 a9 4289
a9 98 31 4305
3c 14 28 4321
e7 a2 45 4337
90 8f 1f 4353
19 f7 ee 4369
5e ca 94 4385
63 de bd 4401
9e 8a 14 4417
09 07 0e 4433
4f c5 8a 4449
bf 6a d5 4465
e0 a0 40 4481
38 17 2f 4497
03 fe fd 4513
e8 58 b0 4529
88 87 0f 4545
44 c3 87 4561
24 e3 c7 4577
49 c7 8e 4593
98 77 ef 4609
66 22 44 4625
0d fb f6 4641
90 70 e0 4657
c2 41 83 4673
d1 4f 9e 4689
55 33 66 4705
65 dc b9 4721
d1 4f 9e 4737
d6 4d 9b 4753
27 e2 c5 4769
11 f0 e1 4785
ce 45 8b 4801
82 81 03 4817
b1 6f de 4833
10 0f 1f 4849
01 00 01 4865
d0 b0 60 4881
3f 15 2a 4897
ec 5b b7 4913
2a e6 cc 4929
59 37 6e 4945
48 38 70 4961
1a 09 13 4977
21 e0 c1 4993
f9 57 ae 5009
6c db b7 5025
b6 6d db 5041
52 31 63 5057
f6 ad 5b 5073
fd ab 56 5089
2c 1b 37 5105
67 22 45 5121
a6 62 c4 5137
35 13 26 5153
6a 26 4c 5169
33 11 22 5185
6e 25 4b 5201
ae 9a 34 5217
38 17 2f 5233
e2 5e bc 5249
59 c8 91 5265
24 e3 c7 5281
75 2c 59 5297
e1 a0 41 5313
06 fd fb 5329
1c f4 e8 5345
e6 5d bb 5361
20 e0 c0 5377
18 08 10 5393
f1 af 5e 5409
0f fa f5 5425
47 3d 7a 5441
05 03 06 5457
a0 9f 3f 5473
3a e9 d3 5489
0d 04 09 5505
2d e4 c9 5521
96 72 e4 5537
3d eb d6 5553
1c f4 e8 5569
cc 44 88 5585
29 18 31 5601
60 df bf 5617
24 1c 38 5633
87 82 05 5649
c0 bf 7f 5665
02 fe fc 5681
4b 39 72 5697
d5 b3 66 5713
29 e7 ce 5729
60 df bf 5745
a0 60 c0 5761
b0 6f df 5777
05 03 06 5793
fb 56 ad 5809
8a 79 f3 5825
6d 24 49 5841
49 38 71 5857
63 de bd 5873
97 72 e5 5889
1e f5 eb 5905
4f c5 8a 5921
33 11 22 5937
57 32 65 5953
74 d3 a7 5969
51 cf 9e 5985
6b d9 b2 6001
eb 59 b2 6017
95 73 e6 6033
7a d6 ac 6049
38 17 2f 6065
75 2c 59 6081
ee 5a b4 6097
9d 8b 16 6113
84 7c f8 6129
34 13 27 6145
42 3e 7c 6161
71 2f 5e 6177
5f ca 95 6193
bb 69 d2 6209
b0 6f df 6225
2c e4 c8 6241
33 ee dd 6257
9d 74 e9 6273
3f 15 2a 6289
0f 05 0a 6305
f6 ad 5b 6321
98 88 10 6337
96 72 e4 6353
ee a5 4b 6369
6b d9 b2 6385
0d 04 09 6401
7f d5 aa 6417
9e 8a 14 6433
99 88 11 6449
9f 75 ea 6465
3e 15 2b 6481
40 3f 7f 6497
da b6 6c 6513
fe 55 ab 6529
dd b4 69 6545
df 4a 95 6561
91 70 e1 6577
a0 60 c0 6593
25 e3 c6 6609
b5 6c d9 6625
e1 5f be 6641
6f da b5 6657
ba 69 d3 6673
6c 24 48 6689
81 7f fe 6705
a3 61 c2 6721
8b 86 0d 6737
d3 4e 9d 6753
c6 bd 7b 6769
de b5 6b 6785
79 d7 ae 6801
42 3e 7c 6817
4f 3a 75 6833
aa 99 33 6849
d3 4e 9d 6865
6d 24 49 6881
f5 53 a6 6897
6f 25 4a 6913
43 c1 82 6929
a9 98 31 6945
be 95 2b 6961
35 13 26 6977
7a d6 ac 6993
1d f4 e9 7009
c2 41 83 7025
92 8e 1c 7041
b7 6d da 7057
bc 6b d7 7073
f0 af 5f 7089
1a f6 ec 7105
33 11 22 7121
ce ba 74 7137
1e f5 eb 7153
db 49 92 7169
a6 62 c4 7185
bc 94 28 7201
60 df bf 7217
6f da b5 7233
6f da b5 7249
f3 51 a2 7265
8a 79 f3 7281
0f fa f5 7297
e9 a7 4e 7313
e6 a2 44 7329
e8 58 b0 7345
08 f8 f0 7361
c1 40 81 7377
f4 ac 58 7393
f1 af 5e 7409
24 1c 38 7425
51 30 61 7441
26 1d 3b 7457
4b c6 8d 7473
da 49 93 7489
b2 91 23 7505
4e c5 8b 7521
7b d6 ad 7537
7e 2a 54 7553
00 00 00 7569
c7 42 85 7585
de 4a 94 7601
66 dd bb 7617
9d 74 e9 7633
93 71 e2 7649
eb 59 b2 7665
0e 05 0b 7681
ee 5a b4 7697
82 81 03 7713
a7 62 c5 7729
cc bb 77 7745
71 2f 5e 7761
36 ed db 7777
a3 61 c2 7793
0b f9 f2 7809
08 07 0f 7825
51 cf 9e 7841
4b 39 72 7857
fd 54 a9 7873
3c 14 28 7889
12 f1 e3 7905
ac 64 c8 7921
d8 48 90 7937
a7 62 c5 7953
13 0e 1d 7969
15 0c 19 7985
de b5 6b 8001
64 dc b8 8017
3d eb d6 8033
f7 52 a5 8049
60 df bf 8065
2a e6 cc 8081
10 f0 e0 8097
f6 52 a4 8113
84 7c f8 8129
75 d3 a6 8145
09 f8 f1 8161
3c 14 28 8177
06 02 04 8193
81 80 01 8209
48 38 70 8225
40 c0 80 8241
34 ec d8 8257
dd 4b 96 8273
9a 76 ec 8289
c2 41 83 8305
91 70 e1 8321
d9 b7 6e 8337
9a 76 ec 8353
21 e0 c1 8369
58 37 6f 8385
b3 6e dd 8401
bb 96 2d 8417
ab 66 cd 8433
73 d1 a2 8449
ca b9 73 8465
b4 6c d8 8481
7b 29 52 8497
27 e2 c5 8513
e8 a7 4f 8529
62 21 43 8545
ea a6 4c 8561
91 70 e1 8577
d9 b7 6e 8593
87 7d fa 8609
ed 5b b6 8625
44 3c 78 8641
b3 6e dd 8657
45 c3 86 8673
23 1e 3d 8689
80 7f ff 8705
07 02 05 8721
8b 79 f2 8737
2c 1b 37 8753
1c 0b 17 8769
81 80 01 8785
f1 af 5e 8801
e7 5d ba 8817
7a d6 ac 8833
b2 6e dc 8849
25 e3 c6 8865
64 23 47 8881
9c 74 e8 8897
d3 4e 9d 8913
22 1e 3c 8929
72 2e 5c 8945
b2 91 23 8961
a4 63 c7 8977
5c cb 97 8993
bb 69 d2 9009
74 2c 58 9025
83 81 02 9041
09 07 0e 9057
40 c0 80 9073
1f f5 ea 9089
58 37 6f 9105
bc 6b d7 9121
6c db b7 9137
eb 59 b2 9153
1a 09 13 9169
a0 60 c0 9185
69 d8 b1 9201
ed a4 49 9217
7f 2a 55 9233
29 e7 ce 9249
f1 50 a1 9265
87 82 05 9281
18 f7 ef 9297
c8 b8 70 9313
2b e6 cd 9329
5c 34 68 9345
8f 85 0a 9361
7a d6 ac 9377
4d c4 89 9393
1a f6 ec 9409
b8 97 2f 9425
6f da b5 9441
22 1e 3c 9457
f5 53 a6 9473
9c 74 e8 9489
07 fd fa 9505
49 38 71 9521
6b 26 4d 9537
f1 af 5e 9553
2f 1a 35 9569
6d db b6 9585
c6 bd 7b 9601
66 dd bb 9617
08 07 0f 9633
c1 bf 7e 9649
25 1c 39 9665
e1 5f be 9681
e6 a2 44 9697
b0 6f df 9713
ae 9a 34 9729
74 2c 58 9745
93 71 e2 9761
ad 9b 36 9777
b3 91 22 9793
6a d9 b3 9809
98 88 10 9825
a1 9f 3e 9841
14 0c 18 9857
6b 26 4d 9873
19 08 11 9889
1e f5 eb 9905
a1 9f 3e 9921
82 7e fc 9937
82 81 03 9953
3c 14 28 9969
67 dd ba 9985
e3 a1 42 10001
cf ba 75 10017
bf 95 2a 10033
a0 60 c0 10049
5e 35 6b 10065
9a 76 ec 10081
09 07 0e 10097
7d d4 a9 10113
02 fe fc 10129
c6 42 84 10145
9b 89 12 10161
f6 ad 5b 10177
bd 94 29 10193
db 49 92 10209
be 6a d4 10225
53 ce 9d 10241
4a c6 8c 10257
3f 15 2a 10273
a7 62 c5 10289
e3 5e bd 10305
60 df bf 10321
fd 54 a9 10337
59 37 6e 10353
f6 52 a4 10369
