wire_i,wire_j,wire_i_name,wire_j_name,mi_joint_plugin,mi_mm_corrected,null_p99_top,offset
23,31,y0_out[6],y1_out[6],1.020850,0.965667,0.062921,18
23,31,y0_out[6],y1_out[6],1.020850,0.000000,0.000000,19
23,31,y0_out[6],y1_out[6],1.020850,0.000000,0.000000,20
23,31,y0_out[6],y1_out[6],1.020850,0.000000,0.000000,21
23,31,y0_out[6],y1_out[6],1.020850,0.000000,0.000000,22
18,26,y0_out[1],y1_out[1],1.019266,0.000000,0.000000,18
18,26,y0_out[1],y1_out[1],1.019266,0.000000,0.000000,19
18,26,y0_out[1],y1_out[1],1.019266,0.000000,0.000000,20
18,26,y0_out[1],y1_out[1],1.019266,0.000000,0.000000,21
18,26,y0_out[1],y1_out[1],1.019266,0.000000,0.000000,22
20,28,y0_out[3],y1_out[3],1.019156,0.000000,0.000000,18
20,28,y0_out[3],y1_out[3],1.019156,0.000000,0.000000,19
20,28,y0_out[3],y1_out[3],1.019156,0.000000,0.000000,20
20,28,y0_out[3],y1_out[3],1.019156,0.000000,0.000000,21
20,28,y0_out[3],y1_out[3],1.019156,0.000000,0.000000,22
19,27,y0_out[2],y1_out[2],1.018909,0.000000,0.000000,18
19,27,y0_out[2],y1_out[2],1.018909,0.000000,0.000000,19
19,27,y0_out[2],y1_out[2],1.018909,0.000000,0.000000,20
19,27,y0_out[2],y1_out[2],1.018909,0.000000,0.000000,21
19,27,y0_out[2],y1_out[2],1.018909,0.000000,0.000000,22
