wire_idx,wire_name,max_mi_plugin,worst_offset,mi_mm_corrected,null_p99
0,valid_pipe[0],0.000000,0,0.000000,0.000000
1,valid_pipe[1],0.000000,0,0.000000,0.000000
2,valid_pipe[2],0.000000,0,0.000000,0.000000
3,valid_pipe[3],0.000000,0,0.000000,0.000000
4,valid_pipe[4],0.000000,0,0.000000,0.000000
5,valid_pipe[5],0.000000,0,0.000000,0.000000
6,valid_pipe[6],0.000000,0,0.000000,0.000000
7,valid_pipe[7],0.000000,0,0.000000,0.000000
8,valid_pipe[8],0.000000,0,0.000000,0.000000
9,valid_pipe[9],0.000000,0,0.000000,0.000000
10,valid_pipe[10],0.000000,0,0.000000,0.000000
11,valid_pipe[11],0.000000,0,0.000000,0.000000
12,valid_pipe[12],0.000000,0,0.000000,0.000000
13,valid_pipe[13],0.000000,0,0.000000,0.000000
14,valid_pipe[14],0.000000,0,0.000000,0.000000
15,valid_pipe[15],0.000000,0,0.000000,0.000000
16,valid_pipe[16],0.000000,0,0.000000,0.000000
17,y0_out[0],0.019341,0,0.000947,0.022122
18,y0_out[1],0.019312,18,0.000917,0.023347
19,y0_out[2],0.019178,18,0.000783,0.022669
20,y0_out[3],0.019202,18,0.000808,0.022550
21,y0_out[4],0.017871,0,0.000000,0.022436
22,y0_out[5],0.020230,0,0.001836,0.021757
23,y0_out[6],0.020911,18,0.002516,0.022348
24,y0_out[7],0.018429,18,0.000035,0.022286
25,y1_out[0],0.019363,0,0.000969,0.023277
26,y1_out[1],0.019373,18,0.000979,0.022434
27,y1_out[2],0.018933,18,0.000538,0.022086
28,y1_out[3],0.019232,18,0.000837,0.022171
29,y1_out[4],0.018173,0,0.000000,0.022518
30,y1_out[5],0.021900,0,0.003506,0.022640
31,y1_out[6],0.021112,18,0.002718,0.022560
32,y1_out[7],0.018437,18,0.000042,0.022343
33,valid_out,0.000000,0,0.000000,0.000000
