# secret s0 s1 s2 first_cycle_of_this_triple
1b de bc 79 2
1f 69 d2 a4 17
13 6b d7 af 33
4d c2 85 0a 49
ee f9 f2 e5 65
19 de bd 7a 81
6b 15 2a 54 97
4c 19 33 66 113
41 1b 36 6c 129
1a 68 d1 a3 145
63 cd 9a 34 161
bc 3f 7e fd 177
f9 48 90 21 193
2a d5 aa 55 209
42 76 ec d8 225
42 1b 37 6e 241
2b d5 aa 54 257
c2 2d 5a b5 273
f5 27 4e 9c 289
24 d7 ae 5d 305
5d c4 88 11 321
f3 26 4c 99 337
e9 23 46 8c 353
ca 43 87 0e 369
6b 78 f1 e2 385
75 a7 4e 9c 401
d8 45 8b 16 417
c5 f7 ee dc 433
34 d1 a3 46 449
0a d8 b1 63 465
7a a5 4a 95 481
c1 9b 36 6c 497
c5 9a 35 6a 513
a0 56 ad 5b 529
b9 53 a6 4c 545
37 67 cf 9f 561
59 c5 8b 17 577
46 c1 82 05 593
cc 2f 5e bd 609
76 11 22 45 625
e0 96 2d 5b 641
5c c4 88 10 657
e2 fb f7 ee 673
9f 5f bf 7f 689
69 ce 9d 3a 705
7e a4 49 93 721
aa 38 71 e3 737
52 70 e1 c3 753
cc 2f 5e bd 769
22 d6 ac 58 785
9c 5f be 7d 801
8c 82 05 0b 817
13 dd ba 74 833
10 06 0d 1b 849
2a d5 aa 55 865
94 31 63 c6 881
f6 91 22 45 897
4d c2 85 0a 913
73 10 21 42 929
cc 42 85 0b 945
60 7b f6 ed 961
09 03 06 0c 977
91 30 60 c1 993
a1 3b 76 ec 1009
30 bd 7b f6 1025
88 83 06 0d 1041
d1 46 8d 1a 1057
90 5d bb 76 1073
47 1a 34 69 1089
d3 9d 3a 74 1105
8a 83 07 0e 1121
6b ce 9c 39 1137
d1 2b 56 ac 1153
f3 26 4c 99 1169
e6 21 42 85 1185
b6 3c 79 f3 1201
72 a6 4c 98 1217
88 58 b0 60 1233
d5 47 8e 1c 1249
fd ff fe fc 1265
e5 fa f5 ea 1281
63 16 2c 59 1297
1d b2 65 ca 1313
06 b7 6f de 1329
39 d3 a6 4c 1345
aa 8e 1c 38 1361
67 cc 99 32 1377
6a ce 9c 38 1393
51 1d 3b 77 1409
be e4 c9 93 1425
9b 33 67 cf 1441
2e 62 c4 88 1457
21 0d 1b 37 1473
a8 8e 1d 3b 1489
57 c7 8f 1f 1505
09 b5 6b d7 1521
a3 e0 c1 82 1537
4d c2 85 0a 1553
ff 92 24 49 1569
2e 0f 1f 3e 1585
ae 39 72 e5 1601
6b 15 2a 54 1617
e8 f8 f0 e0 1633
9a 33 67 ce 1649
23 60 c1 82 1665
5c c4 88 10 1681
d3 9d 3a 74 1697
3c bf 7e fd 1713
21 d6 ad 5a 1729
da 28 51 a3 1745
c6 2c 59 b3 1761
07 01 02 04 1777
33 66 cc 99 1793
d1 9d 3b 77 1809
1c b2 65 cb 1825
bc 52 a5 4b 1841
d7 f1 e2 c4 1857
56 aa 54 a8 1873
5c a9 53 a6 1889
34 bc 78 f0 1905
f4 27 4e 9d 1921
e5 fa f5 ea 1937
e0 20 40 80 1953
4f 74 e9 d2 1969
98 85 0b 16 1985
a6 57 af 5e 2001
33 bd 7a f4 2017
dc 44 88 10 2033
9c 84 08 10 2049
e2 fb f7 ee 2065
ae 54 a9 53 2081
1b de bc 79 2097
01 00 00 01 2113
e2 96 2c 58 2129
5b 1e 3c 79 2145
cc 2f 5e bd 2161
98 85 0b 16 2177
48 75 eb d6 2193
5b 1e 3c 79 2209
0d b4 68 d1 2225
54 1c 38 70 2241
f9 93 26 4c 2257
dd f2 e5 ca 2273
58 73 e6 cd 2289
a0 8d 1b 36 2305
50 1d 3b 76 2321
8c 59 b3 66 2337
34 0a 15 2b 2353
8a 83 07 0e 2369
2b d5 aa 54 2385
80 36 6d db 2401
ee 4f 9f 3e 2417
13 b0 61 c2 2433
87 81 02 04 2449
8e ef df be 2465
37 0a 14 29 2481
04 b7 6e dd 2497
00 6d db b6 2513
c3 2d 5a b4 2529
b9 88 10 21 2545
40 ad 5b b6 2561
d9 45 8b 17 2577
75 11 23 47 2593
a7 e1 c2 84 2609
f4 27 4e 9d 2625
24 61 c3 86 2641
c4 41 83 06 2657
43 76 ec d9 2673
11 6b d6 ac 2689
c5 9a 35 6a 2705
89 58 b0 61 2721
70 a6 4d 9b 2737
99 5e bd 7a 2753
d7 47 8f 1f 2769
70 7d fb f6 2785
8d 82 05 0a 2801
25 0c 18 31 2817
ba 88 11 23 2833
62 7b f7 ee 2849
40 1b 36 6d 2865
8c 82 05 0b 2881
ff 49 92 24 2897
73 a6 4c 99 2913
95 ea d5 aa 2929
93 86 0c 19 2945
3f d2 a4 49 2961
b6 3c 79 f3 2977
70 10 20 40 2993
1b b3 67 cf 3009
ee 4f 9f 3e 3025
b0 50 a0 40 3041
2d b9 73 e7 3057
23 bb 77 ef 3073
b4 51 a3 46 3089
c9 43 86 0c 3105
c0 9b 36 6d 3121
63 7b f7 ef 3137
ac 54 a8 50 3153
9f e9 d2 a4 3169
c8 43 86 0d 3185
aa 8e 1c 38 3201
27 61 c2 84 3217
d9 f3 e6 cc 3233
d7 9c 39 72 3249
d5 9c 38 71 3265
b3 e6 cc 99 3281
17 07 0f 1f 3297
c6 41 82 05 3313
4e 74 e9 d3 3329
e1 20 40 81 3345
19 05 0b 17 3361
91 30 60 c1 3377
a4 8c 18 30 3393
1e 04 09 13 3409
53 c6 8c 19 3425
b5 3c 78 f1 3441
29 63 c6 8c 3457
80 80 00 00 3473
d2 f0 e1 c3 3489
6d cf 9e 3c 3505
b6 8a 14 28 3521
54 c7 8e 1d 3537
ce 99 32 65 3553
fd 49 93 27 3569
05 01 03 07 3585
45 ac 58 b1 3601
8c 82 05 0b 3617
ab 55 aa 54 3633
05 6c d8 b1 3649
50 c6 8d 1b 3665
5e a9 52 a5 3681
bc 3f 7e fd 3697
ca 43 87 0e 3713
ce 2f 5f be 3729
3d bf 7e fc 3745
ce f4 e9 d3 3761
64 7a f5 eb 3777
ad e2 c5 8a 3793
51 70 e0 c1 3809
fb fe fc f9 3825
2f 0f 1f 3f 3841
95 5c b8 71 3857
4f c2 84 09 3873
58 73 e6 cd 3889
50 1d 3b 76 3905
ce 99 32 65 3921
e1 96 2d 5a 3937
21 0d 1b 37 3953
24 0c 18 30 3969
38 be 7d fb 3985
1f 69 d2 a4 4001
eb 23 47 8f 4017
a1 3b 76 ec 4033
fd 49 93 27 4049
fa 93 27 4e 4065
ca 43 87 0e 4081
2c d4 a8 50 4097
a3 56 ac 59 4113
bd 89 13 27 4129
87 81 02 04 4145
f2 4b 97 2e 4161
77 a7 4f 9f 4177
bb e5 ca 94 4193
ca f5 ea d5 4209
be 52 a4 48 4225
7d 7f fe fc 4241
a4 e1 c3 86 4257
6f cf 9f 3f 4273
4a ae 5c b8 4289
3e d2 a4 48 4305
5c 1f 3e 7d 4321
57 71 e2 c4 4337
a0 3b 76 ed 4353
d8 45 8b 16 4369
60 16 2d 5b 4385
6c cf 9e 3d 4401
ee 94 29 53 4417
59 c5 8b 17 4433
cb f5 ea d4 4449
bb 3e 7c f9 4465
c6 2c 59 b3 4481
f5 fc f8 f1 4497
19 68 d0 a1 4513
86 5a b4 68 4529
7a 7e fc f8 4545
2c 0f 1e 3d 4561
c2 f6 ec d8 4577
18 05 0b 16 4593
40 ad 5b b6 4609
a7 e1 c2 84 4625
e3 fb f7 ef 4641
9c 32 65 cb 4657
bb 3e 7c f9 4673
6c 14 28 50 4689
11 b0 60 c1 4705
09 d8 b0 61 4721
c8 98 30 60 4737
be e4 c9 93 4753
df f2 e4 c9 4769
a3 e0 c1 82 4785
c9 43 86 0c 4801
fb fe fc f9 4817
80 ed db b6 4833
7e a4 49 93 4849
e1 20 40 81 4865
2a d5 aa 55 4881
1f 04 09 12 4897
a5 e1 c3 87 4913
8d 59 b3 67 4929
33 bd 7a f4 4945
65 7a f5 ea 4961
a4 57 ae 5d 4977
10 dd bb 76 4993
4a 75 ea d5 5009
85 5a b5 6a 5025
f6 27 4f 9e 5041
cc 99 33 66 5057
02 00 01 03 5073
10 b0 60 c0 5089
02 6d da b5 5105
c4 2c 58 b0 5121
8e ef df be 5137
8e 82 04 08 5153
85 5a b5 6a 5169
19 b3 66 cc 5185
0f d9 b2 64 5201
f4 4a 95 2b 5217
85 81 03 07 5233
ee f9 f2 e5 5249
71 7d fb f7 5265
f9 93 26 4c 5281
e1 fb f6 ec 5297
61 a0 40 81 5313
66 cc 99 33 5329
54 71 e3 c6 5345
06 b7 6f de 5361
1d df be 7c 5377
1e b2 64 c8 5393
9f 32 64 c9 5409
4e af 5f be 5425
87 ec d9 b2 5441
9a 33 67 ce 5457
11 06 0d 1a 5473
62 a0 41 83 5489
dc 29 53 a6 5505
d5 9c 38 71 5521
d9 28 50 a1 5537
8c 82 05 0b 5553
73 10 21 42 5569
9b 5e bc 79 5585
0d d9 b3 67 5601
67 17 2f 5f 5617
c8 2e 5d bb 5633
17 6a d4 a9 5649
5c 72 e5 cb 5665
b0 3d 7b f6 5681
fb 25 4a 94 5697
02 6d da b5 5713
3f 09 12 24 5729
4a c3 87 0e 5745
3e bf 7f fe 5761
66 7a f4 e8 5777
8b 83 07 0f 5793
e7 fa f4 e9 5809
39 be 7d fa 5825
36 bc 79 f3 5841
d4 47 8e 1d 5857
28 b8 70 e0 5873
de 44 89 13 5889
94 31 63 c6 5905
8c 34 68 d0 5921
33 66 cc 99 5937
2b 0e 1c 39 5953
ea 95 2a 55 5969
cf 2f 5f bf 5985
66 17 2f 5e 6001
58 c5 8b 16 6017
4d 19 33 67 6033
d3 f0 e1 c2 6049
e2 96 2c 58 6065
ed 4f 9e 3c 6081
ae 8f 1f 3e 6097
f1 4b 96 2c 6113
64 7a f5 eb 6129
51 1d 3b 77 6145
f5 91 23 47 6161
39 d3 a6 4c 6177
b2 50 a1 43 6193
00 6d db b6 6209
4a 18 31 63 6225
8e ef df be 6241
70 10 20 40 6257
32 d0 a1 43 6273
54 c7 8e 1d 6289
de 9f 3f 7e 6305
cf 99 32 64 6321
c2 9b 37 6e 6337
0a b5 6a d5 6353
c2 2d 5a b5 6369
37 0a 14 29 6385
ed 94 28 51 6401
1e 69 d2 a5 6417
ff 24 49 92 6433
da 28 51 a3 6449
06 b7 6f de 6465
ab 38 71 e2 6481
95 31 63 c7 6497
1d df be 7c 6513
ac 54 a8 50 6529
32 66 cc 98 6545
76 ca 94 28 6561
51 ab 56 ac 6577
a2 56 ac 58 6593
a1 3b 76 ec 6609
fd ff fe fc 6625
6d 79 f3 e7 6641
65 17 2e 5c 6657
fa 48 91 23 6673
e0 96 2d 5b 6689
7c 7f fe fd 6705
5b 73 e7 cf 6721
e1 fb f6 ec 6737
a4 3a 75 eb 6753
b9 3e 7d fa 6769
ab 8e 1c 39 6785
1e 04 09 13 6801
7e 12 24 48 6817
37 bc 79 f2 6833
a3 8d 1a 34 6849
41 1b 36 6c 6865
fd 49 93 27 6881
f9 48 90 21 6897
98 85 0b 16 6913
05 b7 6e dc 6929
1c 04 08 10 6945
1f 69 d2 a4 6961
f9 fe fd fa 6977
12 6b d7 ae 6993
82 80 01 03 7009
49 ae 5d ba 7025
8d 82 05 0a 7041
4a ae 5c b8 7057
b3 8b 17 2f 7073
d5 f1 e3 c7 7089
61 a0 40 81 7105
89 83 06 0c 7121
8b 58 b1 62 7137
ae e2 c4 88 7153
80 5b b6 6d 7169
7f 7f ff ff 7185
e0 20 40 80 7201
03 6d da b4 7217
0e d9 b2 65 7233
18 b3 66 cd 7249
57 71 e2 c4 7265
6c cf 9e 3d 7281
c1 f6 ed da 7297
1c 69 d3 a6 7313
ca f5 ea d5 7329
