wire_i,wire_j,wire_i_name,wire_j_name,mi_joint_bits
8,21,valid_pipe[8],y1_out[3],0.067925
8,17,valid_pipe[8],y0_out[7],0.067511
3,17,valid_pipe[3],y0_out[7],0.067287
8,13,valid_pipe[8],y0_out[3],0.066949
8,19,valid_pipe[8],y1_out[1],0.066945
8,25,valid_pipe[8],y1_out[7],0.066640
8,26,valid_pipe[8],y2_out[0],0.066365
8,33,valid_pipe[8],y2_out[7],0.066075
7,25,valid_pipe[7],y1_out[7],0.066039
7,16,valid_pipe[7],y0_out[6],0.066005
6,19,valid_pipe[6],y1_out[1],0.065926
6,13,valid_pipe[6],y0_out[3],0.065854
3,24,valid_pipe[3],y1_out[6],0.065828
6,32,valid_pipe[6],y2_out[6],0.065795
7,27,valid_pipe[7],y2_out[1],0.065534
6,27,valid_pipe[6],y2_out[1],0.065403
8,10,valid_pipe[8],y0_out[0],0.065392
2,13,valid_pipe[2],y0_out[3],0.065374
4,13,valid_pipe[4],y0_out[3],0.065360
8,32,valid_pipe[8],y2_out[6],0.065072
3,30,valid_pipe[3],y2_out[4],0.065063
8,27,valid_pipe[8],y2_out[1],0.065042
5,15,valid_pipe[5],y0_out[5],0.065006
9,16,valid_pipe[9],y0_out[6],0.064990
4,17,valid_pipe[4],y0_out[7],0.064925
5,19,valid_pipe[5],y1_out[1],0.064876
5,10,valid_pipe[5],y0_out[0],0.064831
6,16,valid_pipe[6],y0_out[6],0.064640
9,13,valid_pipe[9],y0_out[3],0.064591
7,13,valid_pipe[7],y0_out[3],0.064474
6,17,valid_pipe[6],y0_out[7],0.064414
5,21,valid_pipe[5],y1_out[3],0.064403
6,10,valid_pipe[6],y0_out[0],0.064348
6,11,valid_pipe[6],y0_out[1],0.064303
9,25,valid_pipe[9],y1_out[7],0.064283
3,33,valid_pipe[3],y2_out[7],0.064186
9,15,valid_pipe[9],y0_out[5],0.064157
8,16,valid_pipe[8],y0_out[6],0.064155
7,17,valid_pipe[7],y0_out[7],0.064033
8,23,valid_pipe[8],y1_out[5],0.064033
5,22,valid_pipe[5],y1_out[4],0.064020
8,15,valid_pipe[8],y0_out[5],0.064011
6,26,valid_pipe[6],y2_out[0],0.064006
4,27,valid_pipe[4],y2_out[1],0.063968
8,11,valid_pipe[8],y0_out[1],0.063966
3,27,valid_pipe[3],y2_out[1],0.063899
3,22,valid_pipe[3],y1_out[4],0.063880
8,29,valid_pipe[8],y2_out[3],0.063877
8,18,valid_pipe[8],y1_out[0],0.063826
6,22,valid_pipe[6],y1_out[4],0.063786
7,22,valid_pipe[7],y1_out[4],0.063743
4,25,valid_pipe[4],y1_out[7],0.063716
4,19,valid_pipe[4],y1_out[1],0.063695
8,12,valid_pipe[8],y0_out[2],0.063674
6,15,valid_pipe[6],y0_out[5],0.063645
5,25,valid_pipe[5],y1_out[7],0.063613
3,25,valid_pipe[3],y1_out[7],0.063586
8,24,valid_pipe[8],y1_out[6],0.063530
6,24,valid_pipe[6],y1_out[6],0.063491
3,19,valid_pipe[3],y1_out[1],0.063397
6,33,valid_pipe[6],y2_out[7],0.063395
3,13,valid_pipe[3],y0_out[3],0.063377
8,30,valid_pipe[8],y2_out[4],0.063191
6,21,valid_pipe[6],y1_out[3],0.063183
6,31,valid_pipe[6],y2_out[5],0.063161
9,22,valid_pipe[9],y1_out[4],0.063153
9,21,valid_pipe[9],y1_out[3],0.063123
4,23,valid_pipe[4],y1_out[5],0.063098
1,25,valid_pipe[1],y1_out[7],0.063067
2,15,valid_pipe[2],y0_out[5],0.062984
3,21,valid_pipe[3],y1_out[3],0.062953
9,23,valid_pipe[9],y1_out[5],0.062919
8,31,valid_pipe[8],y2_out[5],0.062899
5,14,valid_pipe[5],y0_out[4],0.062898
8,28,valid_pipe[8],y2_out[2],0.062875
5,32,valid_pipe[5],y2_out[6],0.062842
3,16,valid_pipe[3],y0_out[6],0.062786
9,20,valid_pipe[9],y1_out[2],0.062700
7,23,valid_pipe[7],y1_out[5],0.062690
6,25,valid_pipe[6],y1_out[7],0.062685
9,17,valid_pipe[9],y0_out[7],0.062638
5,17,valid_pipe[5],y0_out[7],0.062617
9,24,valid_pipe[9],y1_out[6],0.062613
7,21,valid_pipe[7],y1_out[3],0.062459
5,13,valid_pipe[5],y0_out[3],0.062418
8,14,valid_pipe[8],y0_out[4],0.062343
0,26,valid_pipe[0],y2_out[0],0.062305
8,22,valid_pipe[8],y1_out[4],0.062295
4,16,valid_pipe[4],y0_out[6],0.062238
5,16,valid_pipe[5],y0_out[6],0.062202
7,29,valid_pipe[7],y2_out[3],0.062189
2,27,valid_pipe[2],y2_out[1],0.062148
8,20,valid_pipe[8],y1_out[2],0.062113
2,17,valid_pipe[2],y0_out[7],0.062093
0,17,valid_pipe[0],y0_out[7],0.062058
2,23,valid_pipe[2],y1_out[5],0.062035
3,29,valid_pipe[3],y2_out[3],0.062029
2,25,valid_pipe[2],y1_out[7],0.062028
6,28,valid_pipe[6],y2_out[2],0.061992
5,26,valid_pipe[5],y2_out[0],0.061954
