wire_idx,wire_name,max_mi_bits,worst_offset
0,valid_pipe[0],0.024415,2
1,valid_pipe[1],0.024415,3
2,valid_pipe[2],0.024415,4
3,valid_pipe[3],0.024415,5
4,valid_pipe[4],0.024415,6
5,valid_pipe[5],0.024415,7
6,valid_pipe[6],0.024415,8
7,valid_pipe[7],0.024415,9
8,valid_pipe[8],0.024415,10
9,valid_pipe[9],0.024415,11
10,y0_out[0],0.019831,7
11,y0_out[1],0.017835,5
12,y0_out[2],0.021902,2
13,y0_out[3],0.021047,5
14,y0_out[4],0.019527,12
15,y0_out[5],0.021328,0
16,y0_out[6],0.021315,6
17,y0_out[7],0.021723,0
18,y1_out[0],0.018650,12
19,y1_out[1],0.023080,1
20,y1_out[2],0.018733,4
21,y1_out[3],0.020874,13
22,y1_out[4],0.022965,5
23,y1_out[5],0.019311,0
24,y1_out[6],0.020303,3
25,y1_out[7],0.021084,6
26,y2_out[0],0.018592,7
27,y2_out[1],0.019992,0
28,y2_out[2],0.018798,5
29,y2_out[3],0.018121,6
30,y2_out[4],0.020130,3
31,y2_out[5],0.019001,0
32,y2_out[6],0.020443,7
33,y2_out[7],0.020590,7
34,valid_out,0.024415,12
