# secret s0 s1 first_cycle (fixed 8-shift LFSR, merged)
86 f7 71 2
32 10 22 25
45 31 74 48
10 4a 5a 71
2f 7b 54 94
2b 2e 05 117
0f 43 4c 140
f0 ed 1d 163
d1 1c cd 186
be 1e a0 209
e4 f5 11 232
8e cc 42 255
35 81 b4 278
a9 52 fb 301
fa 61 9b 324
26 8d ab 347
84 b5 31 370
df 9a 45 393
42 ed af 416
16 a6 b0 439
cf 19 d6 462
24 07 23 485
32 4f 7d 508
49 ae e7 531
d7 17 c0 554
0c 3d 31 577
23 2b 08 600
f1 f0 01 623
83 3f bc 646
0f 44 4b 669
18 3f 27 692
7a eb 91 715
1c 24 38 738
bf 38 87 761
08 47 4f 784
ba 45 ff 807
d4 84 50 830
b3 13 a0 853
d2 33 e1 876
d8 80 58 899
9b ab 30 922
e7 48 af 945
e5 13 f6 968
05 21 24 991
92 e7 75 1014
9f 12 8d 1037
49 3f 76 1060
b4 0a be 1083
1a c9 d3 1106
ae 03 ad 1129
2b 88 a3 1152
15 41 54 1175
16 8e 98 1198
48 fd b5 1221
f8 ee 16 1244
b9 49 f0 1267
1e 70 6e 1290
c0 d1 11 1313
22 00 22 1336
45 ca 8f 1359
9e ac 32 1382
6e c9 a7 1405
3f 07 38 1428
97 0e 99 1451
0b c9 c2 1474
b3 2a 99 1497
7b e2 99 1520
28 a9 81 1543
cf e2 2d 1566
ce 78 b6 1589
20 22 02 1612
1b 76 6d 1635
63 3b 58 1658
71 7b 0a 1681
99 77 ee 1704
6e 67 09 1727
da 2a f0 1750
7e bc c2 1773
e9 90 79 1796
8b 8a 01 1819
06 78 7e 1842
24 0d 29 1865
4d a3 ee 1888
15 a7 b2 1911
b8 98 20 1934
f1 ef 1e 1957
e7 e2 05 1980
e5 be 5b 2003
a9 29 80 2026
de 87 59 2049
ad 59 f4 2072
39 b4 8d 2095
81 32 b3 2118
f1 1b ea 2141
26 a1 87 2164
2e e4 ca 2187
97 b7 20 2210
58 cd 95 2233
8b a7 2c 2256
c8 99 51 2279
a9 a5 0c 2302
9d 51 cc 2325
32 5a 68 2348
71 e1 90 2371
e1 4f ae 2394
3a 91 ab 2417
f6 88 7e 2440
ef 5e b1 2463
af 64 cb 2486
ac 63 cf 2509
64 5c 38 2532
0d 9f 92 2555
cb 31 fa 2578
91 6d fc 2601
bd ee 53 2624
c3 13 d0 2647
bc 71 cd 2670
58 2f 77 2693
2b 73 58 2716
58 47 1f 2739
e5 f3 16 2762
3f d1 ee 2785
f5 9e 6b 2808
7a 88 f2 2831
e9 ff 16 2854
db d8 03 2877
51 30 61 2900
8d 60 ed 2923
cd 43 8e 2946
9b 59 c2 2969
f7 48 bf 2992
f7 1a ed 3015
a5 5b fe 3038
1c bf a3 3061
93 08 9b 3084
87 9d 1a 3107
ee 2c c2 3130
a0 91 31 3153
8c 79 f5 3176
a7 07 a0 3199
3b 3b 00 3222
26 d9 ff 3245
e8 06 ee 3268
1d b7 aa 3291
f2 63 91 3314
05 05 00 3337
c0 db 1b 3360
db 05 de 3383
e3 8b 68 3406
ac 97 3b 3429
c7 2d ea 3452
ab 01 aa 3475
0e 49 47 3498
53 1d 4e 3521
c7 ee 29 3544
70 61 11 3567
28 b3 9b 3590
4e e6 a8 3613
84 89 0d 3636
9d c4 59 3659
e6 f5 13 3682
60 b9 d9 3705
36 df e9 3728
fc 09 f5 3751
f8 d0 28 3774
f5 3a cf 3797
a4 ff 5b 3820
1b aa b1 3843
33 11 22 3866
2d d1 fc 3889
97 eb 7c 3912
78 56 2e 3935
34 c6 f2 3958
c0 de 1e 3981
5b 79 22 4004
b9 9e 27 4027
ce b9 77 4050
18 ae b6 4073
ff bd 42 4096
5c 79 25 4119
e6 ac 4a 4142
49 fb b2 4165
a0 ac 0c 4188
ce 56 98 4211
fd a3 5e 4234
20 30 10 4257
5d 23 7e 4280
83 c4 47 4303
58 d5 8d 4326
da 52 88 4349
9e 71 ef 4372
f4 1f eb 4395
03 81 82 4418
76 de a8 4441
74 98 ec 4464
59 d7 8e 4487
69 f3 9a 4510
e6 00 e6 4533
95 dd 48 4556
90 1b 8b 4579
8c d0 5c 4602
d8 b4 6c 4625
09 5e 57 4648
7a 78 02 4671
74 0e 7a 4694
44 47 03 4717
02 8e 8c 4740
e0 c5 25 4763
e3 2a c9 4786
45 1f 5a 4809
52 ed bf 4832
76 5c 2a 4855
3a a6 9c 4878
ed db 36 4901
5b 99 c2 4924
a2 03 a1 4947
4e e6 a8 4970
14 6e 7a 4993
8a 3d b7 5016
73 c4 b7 5039
21 bf 9e 5062
12 17 05 5085
ee 4f a1 5108
de a3 7d 5131
80 6b eb 5154
a0 26 86 5177
fe 5d a3 5200
b3 05 b6 5223
68 4d 25 5246
7d 05 78 5269
a7 3b 9c 5292
66 82 e4 5315
17 9d 8a 5338
22 df fd 5361
6b 36 5d 5384
47 35 72 5407
e3 3b d8 5430
7d 6f 12 5453
77 a4 d3 5476
81 83 02 5499
4b 4e 05 5522
69 23 4a 5545
00 ef ef 5568
19 52 4b 5591
6d de b3 5614
35 02 37 5637
19 fa e3 5660
ab e8 43 5683
f0 4b bb 5706
b4 60 d4 5729
63 d5 b6 5752
86 51 d7 5775
26 be 98 5798
2a 4e 64 5821
d0 5b 8b 5844
3e b3 8d 5867
a8 3b 93 5890
c3 4d 8e 5913
66 4d 2b 5936
e9 e4 0d 5959
e6 b7 51 5982
de 2c f2 6005
50 6b 3b 6028
8c 45 c9 6051
03 12 11 6074
ba c8 72 6097
84 a9 2d 6120
5a 8c d6 6143
ab d4 7f 6166
c5 62 a7 6189
20 2c 0c 6212
c6 6d ab 6235
f0 c8 38 6258
6c 79 15 6281
c2 b8 7a 6304
da b1 6b 6327
af 76 d9 6350
8c 89 05 6373
9b d9 42 6396
61 55 34 6419
7c 39 45 6442
cd 9e 53 6465
3d 16 2b 6488
4b ff b4 6511
42 4d 0f 6534
a8 c8 60 6557
d6 0e d8 6580
11 ab ba 6603
c1 01 c0 6626
83 4c cf 6649
9e e7 79 6672
b4 e5 51 6695
ae 23 8d 6718
66 76 10 6741
80 e2 62 6764
ea 43 a9 6787
6c 5e 32 6810
c4 6e aa 6833
2d 34 19 6856
a6 55 f3 6879
05 02 07 6902
7f 35 4a 6925
2a fa d0 6948
78 7c 04 6971
c0 f2 32 6994
07 b1 b6 7017
f5 41 b4 7040
bd c2 7f 7063
90 1a 8a 7086
10 f0 e0 7109
91 81 10 7132
83 7e fd 7155
df 1a c5 7178
ff ed 12 7201
41 82 c3 7224
62 fe 9c 7247
ea 4d a7 7270
52 fd af 7293
70 92 e2 7316
b8 a8 10 7339
0e 4f 41 7362
66 4a 2c 7385
ac 7d d1 7408
3d a8 95 7431
bf 15 aa 7454
fa 52 a8 7477
87 50 d7 7500
b3 ef 5c 7523
a3 14 b7 7546
23 59 7a 7569
28 55 7d 7592
22 f0 d2 7615
69 83 ea 7638
bd 18 a5 7661
a5 0d a8 7684
00 ee ee 7707
c7 88 4f 7730
f6 99 6f 7753
dd fc 21 7776
42 48 0a 7799
e1 02 e3 7822
44 87 c3 7845
3f 87 b8 7868
9f 8a 15 7891
0b 66 6d 7914
af 76 d9 7937
93 e4 77 7960
95 8e 1b 7983
84 5b df 8006
99 5e c7 8029
00 d4 d4 8052
e7 b3 54 8075
ac a3 0f 8098
13 31 22 8121
95 b6 23 8144
fd da 27 8167
af 98 37 8190
e6 98 7e 8213
9d 07 9a 8236
c7 86 41 8259
61 8c ed 8282
18 bd a5 8305
84 bf 3b 8328
cd 62 af 8351
ad 3f 92 8374
82 b8 3a 8397
08 c8 c0 8420
4a 63 29 8443
37 f1 c6 8466
47 5c 1b 8489
57 a9 fe 8512
de eb 35 8535
3d 82 bf 8558
f6 c8 3e 8581
8a e1 6b 8604
79 c1 b8 8627
ac bf 13 8650
27 f2 d5 8673
16 ac ba 8696
55 dd 88 8719
f6 c9 3f 8742
a6 b6 10 8765
f0 5d ad 8788
cb a1 6a 8811
6d dd b0 8834
df 27 f8 8857
7b 9d e6 8880
5b ab f0 8903
40 2c 6c 8926
31 b6 87 8949
63 61 02 8972
08 78 70 8995
8f 5a d5 9018
42 52 10 9041
d0 ce 1e 9064
7e fc 82 9087
34 6d 59 9110
66 75 13 9133
eb 6c 87 9156
71 87 f6 9179
0a 85 8f 9202
db f3 28 9225
02 6f 6d 9248
3f 50 6f 9271
04 27 23 9294
1e f3 ed 9317
ac 84 28 9340
bc fa 46 9363
3b ed d6 9386
1b ba a1 9409
d0 5c 8c 9432
09 7b 72 9455
33 21 12 9478
73 91 e2 9501
63 38 5b 9524
4d c0 8d 9547
16 5a 4c 9570
1b eb f0 9593
9a 22 b8 9616
fe cb 35 9639
57 ae f9 9662
8d 6f e2 9685
87 f2 75 9708
5e 56 08 9731
3b 7f 44 9754
df 8c 53 9777
bd cb 76 9800
ae e1 4f 9823
06 46 40 9846
c8 d2 1a 9869
58 7d 25 9892
b4 4c f8 9915
70 00 70 9938
b4 07 b3 9961
8e 5b d5 9984
a4 df 7b 10007
bc 88 34 10030
e3 03 e0 10053
92 45 d7 10076
56 c1 97 10099
f5 4b be 10122
46 27 61 10145
62 11 73 10168
7e 68 16 10191
d7 24 f3 10214
a4 5f fb 10237
cb c3 08 10260
d4 dc 08 10283
e2 6b 89 10306
e5 ca 2f 10329
7f 70 0f 10352
5b a0 fb 10375
37 8a bd 10398
d4 0b df 10421
ad 09 a4 10444
d0 41 91 10467
32 ad 9f 10490
af 87 28 10513
7c 0e 72 10536
c5 ff 3a 10559
a5 4c e9 10582
a7 34 93 10605
23 c9 ea 10628
43 9b d8 10651
9a 65 ff 10674
1d a6 bb 10697
26 3c 1a 10720
33 00 33 10743
28 7d 55 10766
33 9e ad 10789
f7 25 d2 10812
41 dd 9c 10835
3c 0b 37 10858
92 26 b4 10881
64 79 1d 10904
0b a5 ae 10927
0e 75 7b 10950
8f b0 3f 10973
bf 2a 95 10996
77 12 65 11019
1a f9 e3 11042
f0 dd 2d 11065
49 d6 9f 11088
9e 71 ef 11111
b6 ae 18 11134
35 cb fe 11157
f4 15 e1 11180
90 7e ee 11203
ba d6 6c 11226
2c a9 85 11249
75 4a 3f 11272
11 51 40 11295
0a 15 1f 11318
ef ce 21 11341
80 a3 23 11364
05 bf ba 11387
2e f3 dd 11410
65 09 6c 11433
9b f0 6b 11456
5a dd 87 11479
71 a3 d2 11502
c0 4d 8d 11525
41 de 9f 11548
3e b0 8e 11571
61 bc dd 11594
1d d5 c8 11617
0a 12 18 11640
25 29 0c 11663
65 4b 2e 11686
af 4d e2 11709
01 24 25 11732
e6 8c 6a 11755
5b eb b0 11778
4c 31 7d 11801
b1 a5 14 11824
e8 51 b9 11847
1e 6d 73 11870
1b a2 b9 11893
68 53 3b 11916
0f 49 46 11939
2e 6c 42 11962
e2 3d df 11985
12 40 52 12008
23 11 32 12031
8f fe 71 12054
44 f9 bd 12077
d0 e9 39 12100
da 95 4f 12123
78 76 0e 12146
14 7a 6e 12169
32 bb 89 12192
71 17 66 12215
ed 21 cc 12238
77 4c 3b 12261
5a ed b7 12284
dd ed 30 12307
66 69 0f 12330
88 8e 06 12353
7e 34 4a 12376
56 cf 99 12399
44 33 77 12422
cd 72 bf 12445
4c 1f 53 12468
0e 8f 81 12491
4f 82 cd 12514
83 de 5d 12537
68 80 e8 12560
48 b6 fe 12583
cd ed 20 12606
fa fe 04 12629
f0 d4 24 12652
67 72 15 12675
55 09 5c 12698
ed ea 07 12721
9d 0a 97 12744
a2 4b e9 12767
ad 3d 90 12790
b8 a0 18 12813
09 0a 03 12836
eb 4f a4 12859
e0 b2 52 12882
52 cf 9d 12905
49 ba f3 12928
49 59 10 12951
a7 20 87 12974
77 b2 c5 12997
34 2f 1b 13020
f1 09 f8 13043
ee 97 79 13066
7f 83 fc 13089
b8 69 d1 13112
5d 86 db 13135
94 e3 77 13158
a2 48 ea 13181
87 16 91 13204
aa 35 9f 13227
0a 02 08 13250
9d db 46 13273
76 35 43 13296
42 12 50 13319
7b 12 69 13342
2e 84 aa 13365
27 d7 f0 13388
c4 06 c2 13411
bf bd 02 13434
a1 e7 46 13457
2c f1 dd 13480
41 56 17 13503
d0 c7 17 13526
7a 35 4f 13549
09 37 3e 13572
d6 c2 14 13595
5b 6e 35 13618
c6 0f c9 13641
8d 65 e8 13664
c9 2c e5 13687
38 b7 8f 13710
bf bd 02 13733
84 dc 58 13756
04 65 61 13779
84 eb 6f 13802
a3 2c 8f 13825
78 3f 47 13848
a3 61 c2 13871
74 8b ff 13894
19 ac b5 13917
88 76 fe 13940
a4 fe 5a 13963
bc 00 bc 13986
ac bb 17 14009
f3 24 d7 14032
17 93 84 14055
d9 2d f4 14078
77 a5 d2 14101
27 a4 83 14124
71 fd 8c 14147
08 ce c6 14170
9f 15 8a 14193
ad 67 ca 14216
da 44 9e 14239
e2 96 74 14262
7a ba c0 14285
59 2d 74 14308
b0 90 20 14331
a7 12 b5 14354
46 1e 58 14377
d4 71 a5 14400
cf 00 cf 14423
12 99 8b 14446
48 37 7f 14469
4c 72 3e 14492
21 e4 c5 14515
ac 06 aa 14538
7a 54 2e 14561
8e 00 8e 14584
73 27 54 14607
0f db d4 14630
d8 2d f5 14653
5f 1c 43 14676
72 f1 83 14699
91 0f 9e 14722
e3 91 72 14745
4f d6 99 14768
f4 2f db 14791
25 00 25 14814
35 72 47 14837
e0 ae 4e 14860
86 a7 21 14883
46 2a 6c 14906
68 e0 88 14929
17 d8 cf 14952
43 9f dc 14975
34 0b 3f 14998
7d bf c2 15021
0f 51 5e 15044
b5 ee 5b 15067
b1 e7 56 15090
ba 53 e9 15113
29 ac 85 15136
c9 3a f3 15159
d7 50 87 15182
4c b9 f5 15205
f1 32 c3 15228
19 ce d7 15251
75 d2 a7 15274
21 c0 e1 15297
46 b9 ff 15320
ef ec 03 15343
70 d5 a5 15366
7c 10 6c 15389
2a 3e 14 15412
8d 4a c7 15435
b0 7e ce 15458
13 cc df 15481
5b 56 0d 15504
3e cc f2 15527
26 3e 18 15550
cf f8 37 15573
4c d7 9b 15596
f0 2d dd 15619
1a ce d4 15642
89 fe 77 15665
af ca 65 15688
a2 0b a9 15711
13 82 91 15734
f4 3a ce 15757
31 8e bf 15780
ac cf 63 15803
66 0d 6b 15826
64 87 e3 15849
78 74 0c 15872
9d 43 de 15895
00 96 96 15918
10 35 25 15941
8b db 50 15964
75 ad d8 15987
5d 19 44 16010
98 54 cc 16033
81 9c 1d 16056
a5 0d a8 16079
d5 90 45 16102
27 46 61 16125
2f ce e1 16148
f0 6b 9b 16171
5a 28 72 16194
29 85 ac 16217
2b c2 e9 16240
d8 4d 95 16263
57 95 c2 16286
1b 87 9c 16309
f4 52 a6 16332
4f ee a1 16355
d3 9c 4f 16378
0f 62 6d 16401
24 12 36 16424
69 45 2c 16447
2c 89 a5 16470
d2 b4 66 16493
fd 17 ea 16516
c1 a8 69 16539
de 53 8d 16562
60 8e ee 16585
b8 12 aa 16608
53 1e 4d 16631
65 cb ae 16654
f5 98 6d 16677
cf ea 25 16700
21 4a 6b 16723
be 60 de 16746
a8 f1 59 16769
bd b2 0f 16792
63 92 f1 16815
49 21 68 16838
51 5b 0a 16861
50 73 23 16884
c9 78 b1 16907
38 b5 8d 16930
70 5f 2f 16953
bf 06 b9 16976
e3 7f 9c 16999
38 e8 d0 17022
ce 6e a0 17045
ac cc 60 17068
38 e9 d1 17091
23 24 07 17114
15 74 61 17137
ad d1 7c 17160
e2 4e ac 17183
9e 19 87 17206
54 27 73 17229
2a ee c4 17252
c7 97 50 17275
5b 9f c4 17298
29 92 bb 17321
5c e5 b9 17344
20 4e 6e 17367
f5 c7 32 17390
56 61 37 17413
66 cc aa 17436
54 92 c6 17459
28 f3 db 17482
f8 34 cc 17505
5b 06 5d 17528
44 81 c5 17551
4c bd f1 17574
03 2c 2f 17597
b1 3f 8e 17620
61 25 44 17643
00 28 28 17666
01 3f 3e 17689
8c d1 5d 17712
32 04 36 17735
64 f2 96 17758
99 b5 2c 17781
e2 82 60 17804
8f 32 bd 17827
a4 7e da 17850
a6 58 fe 17873
3c 21 1d 17896
9e a3 3d 17919
09 08 01 17942
00 fb fb 17965
7c 3a 46 17988
93 ea 79 18011
50 c3 93 18034
54 5c 08 18057
ae dd 73 18080
38 9c a4 18103
98 d9 41 18126
a2 07 a5 18149
18 5a 42 18172
c7 d8 1f 18195
29 59 70 18218
e9 27 ce 18241
10 02 12 18264
03 7b 78 18287
1a ca d0 18310
22 84 a6 18333
66 b0 d6 18356
6d 41 2c 18379
02 ed ef 18402
6c 1e 72 18425
65 0a 6f 18448
04 fd f9 18471
0a 03 09 18494
55 71 24 18517
5a 15 4f 18540
80 f2 72 18563
df 2f f0 18586
15 9d 88 18609
be 59 e7 18632
3d ad 90 18655
55 ea bf 18678
84 46 c2 18701
8b d7 5c 18724
94 39 ad 18747
e7 b8 5f 18770
b1 de 6f 18793
5c ef b3 18816
d4 e7 33 18839
68 07 6f 18862
3d dc e1 18885
fd 63 9e 18908
42 f1 b3 18931
1a 20 3a 18954
eb c9 22 18977
ad 7b d6 19000
05 df da 19023
29 41 68 19046
04 c1 c5 19069
33 5a 69 19092
79 a2 db 19115
d2 9e 4c 19138
a7 3e 99 19161
10 af bf 19184
9e 2c b2 19207
ba 4a f0 19230
18 3b 23 19253
54 91 c5 19276
f9 b5 4c 19299
5b b0 eb 19322
89 43 ca 19345
a0 5a fa 19368
8f 31 be 19391
ce a6 68 19414
b0 4f ff 19437
