wire_i,wire_j,wire_i_name,wire_j_name,mi_joint_plugin,mi_mm_corrected,null_p99_top
28,16,y2_out[2],y0_out[6],0.065766,0.010583,0.064323
28,24,y2_out[2],y1_out[6],0.065587,0.010404,0.000000
24,28,y1_out[6],y2_out[2],0.065587,0.010404,0.000000
28,17,y2_out[2],y0_out[7],0.065213,0.010030,0.000000
17,28,y0_out[7],y2_out[2],0.065213,0.010030,0.000000
28,13,y2_out[2],y0_out[3],0.064911,0.009728,0.000000
17,15,y0_out[7],y0_out[5],0.064569,0.009386,0.000000
15,17,y0_out[5],y0_out[7],0.064569,0.009386,0.000000
28,11,y2_out[2],y0_out[1],0.064193,0.009010,0.000000
28,32,y2_out[2],y2_out[6],0.064106,0.008923,0.000000
32,28,y2_out[6],y2_out[2],0.064106,0.008923,0.000000
28,30,y2_out[2],y2_out[4],0.063985,0.008802,0.000000
17,32,y0_out[7],y2_out[6],0.063842,0.008659,0.000000
32,17,y2_out[6],y0_out[7],0.063842,0.008659,0.000000
17,20,y0_out[7],y1_out[2],0.063818,0.008635,0.000000
20,17,y1_out[2],y0_out[7],0.063818,0.008635,0.000000
28,20,y2_out[2],y1_out[2],0.063666,0.008483,0.000000
20,28,y1_out[2],y2_out[2],0.063666,0.008483,0.000000
28,25,y2_out[2],y1_out[7],0.063655,0.008472,0.000000
14,17,y0_out[4],y0_out[7],0.063448,0.008265,0.000000
