stage_offset,mi_plugin,mi_mm_corrected,null_p99
0,0.000000,0.000000,0.000000
1,0.000798,0.000000,0.000000
2,0.000798,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000798,0.000000,0.000000
12,0.259656,0.000000,0.274587
13,0.000798,0.000000,0.000000
14,0.000000,0.000000,0.000000
-1,0.028473,0.003947,0.0
