wire_idx,wire_name,max_mi_plugin,worst_offset,mi_mm_corrected,null_p99
0,valid_pipe[0],0.000798,1,0.000000,0.000856
1,valid_pipe[1],0.000798,2,0.000000,0.000856
2,valid_pipe[2],0.000798,3,0.000000,0.000856
3,valid_pipe[3],0.000798,4,0.000000,0.000856
4,valid_pipe[4],0.000798,5,0.000000,0.000856
5,valid_pipe[5],0.000798,6,0.000000,0.000856
6,valid_pipe[6],0.000798,7,0.000000,0.000862
7,valid_pipe[7],0.000798,8,0.000000,0.000856
8,valid_pipe[8],0.000798,9,0.000000,0.000856
9,valid_pipe[9],0.000798,10,0.000000,0.000856
10,y0_out[0],0.019092,11,0.000698,0.022600
11,y0_out[1],0.018128,11,0.000000,0.022520
12,y0_out[2],0.018835,12,0.000441,0.022820
13,y0_out[3],0.019367,12,0.000973,0.022977
14,y0_out[4],0.021970,12,0.003576,0.022659
15,y0_out[5],0.020837,0,0.002442,0.022465
16,y0_out[6],0.017476,12,0.000000,0.022210
17,y0_out[7],0.022383,0,0.003988,0.022395
18,y1_out[0],0.018474,0,0.000080,0.023328
19,y1_out[1],0.018777,12,0.000383,0.022660
20,y1_out[2],0.020224,0,0.001830,0.022264
21,y1_out[3],0.020113,0,0.001719,0.022702
22,y1_out[4],0.018502,12,0.000108,0.022172
23,y1_out[5],0.017198,12,0.000000,0.021892
24,y1_out[6],0.020664,12,0.002270,0.022996
25,y1_out[7],0.018794,0,0.000400,0.022110
26,y2_out[0],0.020022,12,0.001628,0.022708
27,y2_out[1],0.017940,0,0.000000,0.022679
28,y2_out[2],0.024749,11,0.006355,0.021948
29,y2_out[3],0.018995,0,0.000600,0.022668
30,y2_out[4],0.017942,12,0.000000,0.023413
31,y2_out[5],0.021509,12,0.003114,0.021940
32,y2_out[6],0.019928,12,0.001534,0.022868
33,y2_out[7],0.019324,12,0.000930,0.022855
34,valid_out,0.000798,11,0.000000,0.000856
