wire_i,wire_j,wire_i_name,wire_j_name,mi_joint_plugin,mi_mm_corrected,null_p99_top
13,14,y_out[3],y_out[4],0.063774,0.008591,0.064736
14,13,y_out[4],y_out[3],0.063774,0.008591,0.000000
14,17,y_out[4],y_out[7],0.061150,0.005967,0.000000
17,14,y_out[7],y_out[4],0.061150,0.005967,0.000000
13,17,y_out[3],y_out[7],0.060963,0.005780,0.000000
17,13,y_out[7],y_out[3],0.060963,0.005780,0.000000
17,10,y_out[7],y_out[0],0.060765,0.005582,0.000000
10,17,y_out[0],y_out[7],0.060765,0.005582,0.000000
13,10,y_out[3],y_out[0],0.060629,0.005446,0.000000
10,13,y_out[0],y_out[3],0.060629,0.005446,0.000000
12,17,y_out[2],y_out[7],0.060629,0.005446,0.000000
17,12,y_out[7],y_out[2],0.060629,0.005446,0.000000
14,10,y_out[4],y_out[0],0.060499,0.005316,0.000000
10,14,y_out[0],y_out[4],0.060499,0.005316,0.000000
13,16,y_out[3],y_out[6],0.060095,0.004912,0.000000
16,13,y_out[6],y_out[3],0.060095,0.004912,0.000000
17,11,y_out[7],y_out[1],0.059355,0.004172,0.000000
11,17,y_out[1],y_out[7],0.059355,0.004172,0.000000
11,14,y_out[1],y_out[4],0.058809,0.003626,0.000000
14,11,y_out[4],y_out[1],0.058809,0.003626,0.000000
