stage_offset,mi_plugin,mi_mm_corrected,null_p99
0,0.000000,0.000000,0.000000
1,0.000775,0.000000,0.000000
2,0.000775,0.000000,0.000000
3,0.000000,0.000000,0.000000
4,0.000000,0.000000,0.000000
5,0.000000,0.000000,0.000000
6,0.000000,0.000000,0.000000
7,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000
9,0.000000,0.000000,0.000000
10,0.000000,0.000000,0.000000
11,0.000775,0.000000,0.000000
12,0.138469,0.000000,0.152437
13,0.000775,0.000000,0.000000
14,0.000000,0.000000,0.000000
-1,0.020631,0.008368,0.0
