wire_idx,wire_name,max_mi_plugin,worst_offset,mi_mm_corrected,null_p99
0,valid_pipe[0],0.000775,1,0.000000,0.000851
1,valid_pipe[1],0.000775,2,0.000000,0.000856
2,valid_pipe[2],0.000775,3,0.000000,0.000851
3,valid_pipe[3],0.000775,4,0.000000,0.000851
4,valid_pipe[4],0.000775,5,0.000000,0.000846
5,valid_pipe[5],0.000775,6,0.000000,0.000856
6,valid_pipe[6],0.000775,7,0.000000,0.000867
7,valid_pipe[7],0.000775,8,0.000000,0.000856
8,valid_pipe[8],0.000775,9,0.000000,0.000856
9,valid_pipe[9],0.000775,10,0.000000,0.000856
10,y_out[0],0.999931,12,0.981536,0.022633
11,y_out[1],0.999994,12,0.981599,0.022572
12,y_out[2],1.000000,12,0.981606,0.022555
13,y_out[3],1.000000,12,0.981606,0.022863
14,y_out[4],0.999997,12,0.981602,0.022115
15,y_out[5],0.999993,12,0.981598,0.022599
16,y_out[6],0.999963,12,0.981568,0.023374
17,y_out[7],0.999985,12,0.981590,0.022785
18,valid_out,0.000775,11,0.000000,0.000856
