# secret s0 s1 first_cycle_of_this_triple
86 f7 71 2
ae 01 af 17
dd 42 9f 33
7a 90 ea 49
ed fd 10 65
ea 22 c8 81
33 fc cf 97
4e 6c 22 113
25 6c 49 129
45 31 74 145
b0 60 d0 161
1f 80 9f 177
f6 58 ae 193
00 4a 4a 209
5e 5a 04 225
da 59 83 241
3a 0f 35 257
55 c7 92 273
2f 7b 54 289
f7 d3 24 305
40 3b 7b 321
63 02 61 337
31 1f 2e 353
a2 05 a7 369
a4 84 20 385
50 cf 9f 401
cc 69 a5 417
0f 43 4c 433
70 90 e0 449
fe 41 bf 465
9f 77 e8 481
10 fd ed 497
b9 1d a4 513
18 61 79 529
8a 66 ec 545
e8 dd 35 561
d1 1c cd 577
09 ba b3 593
d1 55 84 609
c3 44 87 625
18 06 1e 641
69 a0 c9 657
81 fd 7c 673
94 df 4b 689
d2 65 b7 705
e4 f5 11 721
cc 4e 82 737
a2 2d 8f 753
98 05 9d 769
60 ac cc 785
a7 42 e5 801
ce 7c b2 817
b6 72 c4 833
0b f1 fa 849
35 81 b4 865
84 14 90 881
9f 77 e8 897
a3 71 d2 913
21 73 52 929
84 fb 7f 945
04 4d 49 961
bd b3 0e 977
3e 8f b1 993
fa 61 9b 1009
fc 0e f2 1025
8a d1 5b 1041
2e dc f2 1057
a8 25 8d 1073
9b ab 30 1089
98 19 81 1105
4a e2 a8 1121
71 13 62 1137
84 b5 31 1153
52 7a 28 1169
e1 40 a1 1185
2c 14 38 1201
2a b0 9a 1217
66 45 23 1233
1f cc d3 1249
78 d5 ad 1265
de 6f b1 1281
42 ed af 1297
3f 8d b2 1313
0e af a1 1329
b9 df 66 1345
46 e0 a6 1361
36 b0 86 1377
7e 95 eb 1393
f9 8e 77 1409
8c 4f c3 1425
cf 19 d6 1441
5f b4 eb 1457
de 02 dc 1473
4d 16 5b 1489
29 2e 07 1505
cc 23 ef 1521
f8 43 bb 1537
92 a5 37 1553
6e 8a e4 1569
32 4f 7d 1585
d8 a2 7a 1601
0a 21 2b 1617
46 0e 48 1633
7f d1 ae 1649
82 e7 65 1665
a1 e3 42 1681
7b 9b e0 1697
b0 8c 3c 1713
d7 17 c0 1729
7f 4b 34 1745
4e 1e 50 1761
c5 cf 0a 1777
9a a7 3d 1793
42 31 73 1809
39 19 20 1825
38 91 a9 1841
91 79 e8 1857
23 2b 08 1873
7c a1 dd 1889
b3 ba 09 1905
58 1f 47 1921
55 a5 f0 1937
1a 01 1b 1953
1a 31 2b 1969
98 3c a4 1985
b0 ca 7a 2001
83 3f bc 2017
5e 35 6b 2033
5e d2 8c 2049
22 ce ec 2065
c5 81 44 2081
aa 4b e1 2097
f9 76 8f 2113
9c d3 4f 2129
b9 0c b5 2145
18 3f 27 2161
1a cd d7 2177
9b 80 1b 2193
